Website,Link,Broadband Provider,Link Load Time (Average of 5 tries),Link is dead or timed out (Y/N)
https://www.usa.gov/,https://www.usa.gov/branches-of-government,ACT-Fibernet,625.6,N
https://www.usa.gov/,https://www.usa.gov/budget,ACT-Fibernet,478.2,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,566.0,N
https://www.usa.gov/,https://www.usa.gov/auctions-and-sales,ACT-Fibernet,692.6,N
https://www.usa.gov/,https://www.usa.gov/state-surplus-sales,ACT-Fibernet,712.0,N
https://www.usa.gov/,https://www.usa.gov/elected-officials,ACT-Fibernet,516.2,N
https://www.usa.gov/,https://www.usa.gov/forms,ACT-Fibernet,485.4,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,727.4,N
https://www.usa.gov/,https://www.usa.gov/elected-officials,ACT-Fibernet,593.4,N
https://www.usa.gov/,https://www.usa.gov/state-governor,ACT-Fibernet,438.8,N
https://www.usa.gov/,https://www.usa.gov/tribes,ACT-Fibernet,445.8,N
https://www.usa.gov/,https://www.usa.gov/local-governments,ACT-Fibernet,443.8,N
https://www.usa.gov/,https://www.usa.gov/state-attorney-general,ACT-Fibernet,425.0,N
https://www.usa.gov/,https://www.usa.gov/state-consumer,ACT-Fibernet,407.6,N
https://www.usa.gov/,https://www.usa.gov/state-emergency-management,ACT-Fibernet,492.2,N
https://www.usa.gov/,https://www.usa.gov/states-and-territories,ACT-Fibernet,675.0,N
https://www.usa.gov/,https://www.usa.gov/state-health,ACT-Fibernet,652.8,N
https://www.usa.gov/,https://www.usa.gov/state-courts,ACT-Fibernet,466.8,N
https://www.usa.gov/,https://www.usa.gov/state-travel-and-tourism,ACT-Fibernet,468.8,N
https://www.usa.gov/,https://www.usa.gov/history,ACT-Fibernet,960.2,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,597.4,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,684.2,N
https://www.usa.gov/,https://www.usa.gov/complaint-against-government,ACT-Fibernet,599.6,N
https://www.usa.gov/,https://www.usa.gov/consumer-complaints,ACT-Fibernet,831.0,N
https://www.usa.gov/,https://www.usa.gov/complaints-by-product,ACT-Fibernet,403.8,N
https://www.usa.gov/,https://www.usa.gov/complaint-letter,ACT-Fibernet,416.6,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,555.6,N
https://www.usa.gov/,https://www.usa.gov/crimes-against-children,ACT-Fibernet,445.0,N
https://www.usa.gov/,https://www.usa.gov/prisons,ACT-Fibernet,516.6,N
https://www.usa.gov/,https://www.usa.gov/report-crime,ACT-Fibernet,620.8,N
https://www.usa.gov/,https://www.usa.gov/corrections,ACT-Fibernet,385.2,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,521.2,N
https://www.usa.gov/,https://www.usa.gov/branches-of-government,ACT-Fibernet,685.0,N
https://www.usa.gov/,https://www.usa.gov/laws-and-regulations,ACT-Fibernet,478.4,N
https://www.usa.gov/,https://www.usa.gov/how-laws-are-made,ACT-Fibernet,3641.8,N
https://www.usa.gov/,https://www.usa.gov/labor-laws,ACT-Fibernet,636.6,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,2033.6,N
https://www.usa.gov/,https://www.usa.gov/complaints,ACT-Fibernet,455.0,N
https://www.usa.gov/,https://www.usa.gov/family-legal,ACT-Fibernet,502.2,N
https://www.usa.gov/,https://www.usa.gov/genealogy,ACT-Fibernet,483.0,N
https://www.usa.gov/,https://www.usa.gov/legal-aid,ACT-Fibernet,392.2,N
https://www.usa.gov/,https://www.usa.gov/replace-vital-documents,ACT-Fibernet,424.2,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,527.2,N
https://www.usa.gov/,https://www.usa.gov/common-scams-frauds,ACT-Fibernet,671.6,N
https://www.usa.gov/,https://www.usa.gov/housing-scams,ACT-Fibernet,443.8,N
https://www.usa.gov/,https://www.usa.gov/identity-theft,ACT-Fibernet,528.4,N
https://www.usa.gov/,https://www.usa.gov/irs-scams,ACT-Fibernet,371.2,N
https://www.usa.gov/,https://www.usa.gov/online-safety,ACT-Fibernet,439.4,N
https://www.usa.gov/,https://www.usa.gov/privacy,ACT-Fibernet,461.6,N
https://www.usa.gov/,https://www.usa.gov/stop-scams-frauds,ACT-Fibernet,463.8,N
https://www.usa.gov/,https://www.usa.gov/government-works,ACT-Fibernet,475.0,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,432.8,N
https://www.usa.gov/,https://www.usa.gov/election-results,ACT-Fibernet,535.0,N
https://www.usa.gov/,https://www.usa.gov/voter-id,ACT-Fibernet,549.8,N
https://www.usa.gov/,https://www.usa.gov/voting-laws,ACT-Fibernet,475.0,N
https://www.usa.gov/,https://www.usa.gov/who-can-vote,ACT-Fibernet,450.4,N
https://www.usa.gov/,https://www.usa.gov/disability-rights,ACT-Fibernet,467.4,N
